"id","create_uid","create_date","write_uid","tgl_penempatan","write_date","alamat_penempatan","telp_penempatan","name","jenis_penempatan","pelatihan_id","jml_penempatan"
7,1,2018-09-05 14:53:47,1,,2018-09-05 14:53:47,,,aa,Formal,,5
9,22,2019-05-02 08:17:04,22,2019-04-09,2019-05-02 08:17:04,jl raya mangaran kec. panji,-,Konveksi penjahit budi,Formal,200,2
38,5,2020-06-09 05:15:12,5,,2020-06-09 05:15:12,,,PT. TEDMONINDO GROUP,Formal,1073,5
15,22,2019-09-24 01:00:26,22,2019-07-15,2019-09-24 01:00:26,Kab. Situbondo,-,usaha mandiri,Informal,,8
13,22,2019-09-24 00:39:17,22,2019-06-25,2019-09-24 00:39:17,Kab. Situbondo,-,usaha mandiri,Informal,200,14
14,22,2019-09-24 00:53:42,22,2019-07-24,2019-09-24 00:53:42,Kab. Situbondo,-,usaha mandiri,Informal,171,16
11,22,2019-09-24 00:27:36,22,2019-09-24,2019-09-24 00:27:36,Kec. Panji,-,usaha mandiri,Informal,,8
17,22,2020-04-07 03:00:24,22,2020-04-02,2020-04-07 03:00:24,JL. Olean krajan RT 005 RW 004,-,food catering,Informal,975,1
18,22,2020-04-07 03:28:49,22,2020-04-02,2020-04-07 03:28:49,Desa Ardirejo Kec. Panji,-,HOME INDUSTRI,Informal,975,1
19,22,2020-06-05 01:07:41,22,2020-04-07,2020-06-05 01:07:41,Situbondo,-,usaha mandiri,Informal,975,1
20,5,2020-06-09 04:07:22,5,,2020-06-09 04:07:22,,,PT. CAHAYA HIDUP PRIMA,Formal,1062,1
21,5,2020-06-09 04:07:22,5,,2020-06-09 04:07:22,,,PT. MARTHIS ORTHO,Formal,1062,1
22,5,2020-06-09 04:07:22,5,,2020-06-09 04:07:22,,,PT. JNE,Formal,1062,1
23,5,2020-06-09 04:07:22,5,,2020-06-09 04:07:22,,,PT. MICO INOX PRIMA,Formal,1062,1
24,5,2020-06-09 04:07:22,5,,2020-06-09 04:07:22,,,PT. CAHAYA HIDUP PRIMA,Formal,1062,1
25,5,2020-06-09 04:07:22,5,,2020-06-09 04:07:22,,,KAPAL PESIAR COSTA,Formal,1062,1
26,5,2020-06-09 04:07:22,5,,2020-06-09 04:07:22,,,PT. CAKRINDO,Formal,1062,1
27,5,2020-06-09 04:07:22,5,,2020-06-09 04:07:22,,,PT. AQUAMARINE,Formal,1062,1
28,5,2020-06-09 04:07:22,5,,2020-06-09 04:07:22,,,PT. INDONESIA BIKE WORKS,Formal,1062,1
29,5,2020-06-09 04:07:22,5,,2020-06-09 04:07:22,,,CV. GLOBAL TEHNIK MANDIRI TULANGAN ,Formal,1062,1
30,5,2020-06-09 04:07:22,5,,2020-06-09 04:07:22,,,PT. VARINGIN PLASTINDO,Formal,1062,1
31,5,2020-06-09 04:07:22,5,,2020-06-09 04:07:22,,,SAMUDRA INDOMESI CILEGON,Formal,1062,1
