"id","create_uid","create_date","name","kejuruan_id","write_uid","write_date"
4,1,2017-09-25 02:40:34,Las Industri,6,1,2017-10-09 02:47:21
5,1,2017-09-25 02:40:34,Fabrikasi,6,1,2017-10-09 02:47:21
6,1,2017-10-09 02:47:21,Las Bawah Air,6,1,2017-10-09 02:47:21
1,1,2017-09-25 02:30:11,Teknik Kendaraan Ringan,5,1,2017-10-09 02:48:11
2,1,2017-09-25 02:30:11,Teknik Sepeda Motor,5,1,2017-10-09 02:48:11
3,1,2017-09-25 02:30:11,Teknik Alat Berat,5,1,2017-10-09 02:48:11
7,1,2017-10-09 03:00:33,Instalasi Penerangan,7,1,2017-10-09 03:00:33
8,1,2017-10-09 03:00:33,Instalasi Tenaga,7,1,2017-10-09 03:00:33
9,1,2017-10-09 03:00:33,Otomasi Industri,7,1,2017-10-09 03:00:33
10,1,2017-10-15 15:26:40,Mesin Produksi,8,1,2017-10-15 15:26:40
11,1,2017-10-15 15:26:40,Instalasi Pipa,8,1,2017-10-15 15:26:40
12,1,2017-10-15 15:26:40,Kerja Pelat,8,1,2017-10-15 15:26:40
13,1,2017-10-15 15:26:40,Pengecoran Logam,8,1,2017-10-15 15:26:40
14,1,2017-10-15 15:26:40,CNC,8,1,2017-10-15 15:26:40
15,1,2017-10-15 15:28:08,Telekomunikasi,9,1,2017-10-15 15:28:08
16,1,2017-10-15 15:28:08,Instrument & Kontrol,9,1,2017-10-15 15:28:08
17,1,2017-10-15 15:28:08,Audio Video,9,1,2017-10-15 15:28:08
18,1,2017-10-15 15:28:55,Teknik Refrigerasi Domestik,10,1,2017-10-15 15:28:55
19,1,2017-10-15 15:28:55,Teknik Tata Udara,10,1,2017-10-15 15:28:55
20,1,2017-10-15 15:30:31,Konstruksi Baru Dan Beton,11,1,2017-10-15 15:30:31
21,1,2017-10-15 15:30:31,Konstruksi Kayu,11,1,2017-10-15 15:30:31
22,1,2017-10-15 15:30:31,Gambar Bangunan,11,1,2017-10-15 15:30:31
23,1,2017-10-15 15:30:31,Furniture,11,1,2017-10-15 15:30:31
24,1,2017-10-15 15:30:31,Konstruksi Baja Ringan,11,1,2017-10-15 15:30:31
25,1,2017-10-15 15:30:31,Pekerjaan Gipsum,11,1,2017-10-15 15:30:31
26,1,2017-10-15 15:30:31,Survei Dan Pemetaan,11,1,2017-10-15 15:30:31
27,1,2017-10-15 15:30:31,Pembesian,11,1,2017-10-15 15:30:31
28,1,2017-10-15 15:31:51,Sekretaris,12,1,2017-10-15 15:31:51
29,1,2017-10-15 15:31:51,Administrasi Perkantoran,12,1,2017-10-15 15:31:51
30,1,2017-10-15 15:31:51,ICT For Secretary,12,1,2017-10-15 15:31:51
31,1,2017-10-15 15:31:51,Keuangan,12,1,2017-10-15 15:31:51
32,1,2017-10-15 15:31:51,Tata Niaga / Penjualan,12,1,2017-10-15 15:31:51
33,1,2017-10-15 15:31:51,Bahasa,12,1,2017-10-15 15:31:51
34,1,2017-10-15 15:31:51,Kewirausahaan,12,1,2017-10-15 15:31:51
35,1,2017-10-15 15:34:22,Networking,13,1,2017-10-15 15:34:22
36,1,2017-10-15 15:34:22,Technical Support,13,1,2017-10-15 15:34:22
37,1,2017-10-15 15:34:22,Computer Engineering,13,1,2017-10-15 15:34:22
38,1,2017-10-15 15:34:22,Pemrograman,13,1,2017-10-15 15:34:22
39,1,2017-10-15 15:34:22,Multimedia,13,1,2017-10-15 15:34:22
40,1,2017-10-15 15:34:22,Database,13,1,2017-10-15 15:34:22
41,1,2017-10-15 15:34:22,System Analyst,13,1,2017-10-15 15:34:22
42,1,2017-10-15 15:34:22,Graphic Design,13,1,2017-10-15 15:34:22
43,1,2017-10-15 15:34:22,Office Tools,13,1,2017-10-15 15:34:22
44,1,2017-10-15 15:34:22,Artificial Intelegence,13,1,2017-10-15 15:34:22
45,1,2017-10-15 15:34:22,IT Governance,13,1,2017-10-15 15:34:22
46,1,2017-10-15 15:34:22,Public Relation,13,1,2017-10-15 15:34:22
47,1,2017-10-15 15:35:24,"Menjahit (Knitting, Moven)",14,1,2017-10-15 15:35:24
48,1,2017-10-15 15:35:24,Teknik Bordir,14,1,2017-10-15 15:35:24
49,1,2017-10-15 15:35:24,Teknik Pola,14,1,2017-10-15 15:35:24
50,1,2017-10-15 15:35:55,Kecantikan Kulit,15,1,2017-10-15 15:35:55
51,1,2017-10-15 15:35:55,Kecantikan Rambut,15,1,2017-10-15 15:35:55
52,1,2017-10-15 15:36:28,Fashion Desain,16,1,2017-10-15 15:36:28
53,1,2017-10-15 15:36:28,Fashion Teknologi,16,1,2017-10-15 15:36:28
54,1,2017-10-15 15:37:00,Perhotelan,17,1,2017-10-15 15:37:00
55,1,2017-10-15 15:37:00,Tour And Travel,17,1,2017-10-15 15:37:00
56,1,2017-10-15 15:38:17,Mekanisasi Pertanian,18,1,2017-10-15 15:38:17
57,1,2017-10-15 15:38:17,Tanaman Pangan,18,1,2017-10-15 15:38:17
58,1,2017-10-15 15:38:17,Holtikultura,18,1,2017-10-15 15:38:17
59,1,2017-10-15 15:38:17,Mix Farming,18,1,2017-10-15 15:38:17
60,1,2017-10-15 15:38:17,Pengolahan Tanah,18,1,2017-10-15 15:38:17
61,1,2017-10-15 15:38:17,Konservasi Lahan,18,1,2017-10-15 15:38:17
62,1,2017-10-15 15:38:17,Budidaya Tanaman,18,1,2017-10-15 15:38:17
63,1,2017-10-15 15:38:47,Penangkapan,19,1,2017-10-15 15:38:47
65,1,2017-10-15 15:38:47,Permesinan,19,1,2017-10-15 15:38:47
66,1,2017-10-15 15:39:32,Pengolahan Hasil Pertanian,20,1,2017-10-15 15:39:32
67,1,2017-10-15 15:39:32,Pengolahan Hasil Perikanan,20,1,2017-10-15 15:39:32
